FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,DATABASE_ID_ID,DATABASE_ID_NAME,UNIT_MULT_ID,UNIT_MULT_NAME,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,BRA,Brazil,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,13.39323997,12.80331039,12.56602955,12.3688097,12.34566975,,13.04442978,12.34484959,12.77501011,12.28639984,12.20433044,12.96057987,,16.14632988,15.34799957,16.85954094,17.73360062,18.36664963,18.53487968,17.49741936,,,
A,Annual,BRN,Brunei Darussalam,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,9.62963009,11.33568001,12.16341972,,8.22093964,11.38329029,10.65332985,8.94828987,14.25914001,15.02591038,15.09210014,21.91044998,20.73911095,18.25683022,,,30.49132919,,,39.2274704,40.14437866,38.38647079,,,
A,Annual,BWA,Botswana,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,21.74230957,,8.2446804,13.64204979,,,,,,,,,,,,,,,,,,18.50805092,19.73843002,,
A,Annual,CAN,Canada,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,22.26206017,,,,,,,,,,,,,,,20.71710968,20.43725967,20.02749062,21.30080986,,22.37561989,25.05427933,25.70546913,26.1891098,,
A,Annual,CHE,Switzerland,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,25.09465027,25.27603912,24.39790916,23.94322014,22.54015923,22.48036003,23.97430992,22.9743309,,21.36356926,22.35676003,20.72265053,21.8239193,,23.03043938,23.25597954,24.38324928,24.53046036,24.85230064,25.21236992,25.3517704,25.17020035,25.32761002,,
A,Annual,CHL,Chile,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,26.4616394,,26.51939964,26.98405075,22.67700005,20.97281075,20.53292084,,19.54034042,19.26935005,19.97364998,20.10326004,19.90402985,20.46533966,20.94617081,20.56810951,21.40974045,20.50560951,21.38279915,
A,Annual,CMR,Cameroon,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,24.91198921,,18.74706078,,21.33558083,,,,,,,,,,,,,
A,Annual,COD,"Congo, Dem. Rep.",WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,15.46234989,,,,,,,
A,Annual,COG,"Congo, Rep.",WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,15.13064003,,,,,,
A,Annual,COL,Colombia,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,24.69111061,,,,,,,,,22.9342308,22.12730026,,23.28125,22.70119095,23.63948059,23.66474915,23.12693024,24.63013077,23.51935959,23.91124916,,
A,Annual,COM,Comoros,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,10.16259956,0.0,,,,,,,,,,,,,,,,,,,,,,,
A,Annual,CPV,Cabo Verde,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,11.42444038,16.41658974,16.12676048,,,,,
A,Annual,CRI,Costa Rica,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,13.3519001,12.26618004,,,,,13.67759991,,,11.43253994,12.44604015,,,,12.87716961,13.09072971,14.39941025,15.45586967,15.11316013,16.22776031,15.71689034,,
A,Annual,CUB,Cuba,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,13.12790012,,,,,,,,,,,,,,8.74985981,,,20.83716965,14.38185978,12.27476025,,
A,Annual,CYM,Cayman Islands,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,18.57143021,42.10525894,35.26786041,,,,,,,,,,,,,,,
A,Annual,CYP,Cyprus,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,14.01616955,,,13.13842964,12.79743004,,,13.91913033,12.35095978,12.60365009,13.6886301,13.2990303,17.21463013,21.86943054,19.01165009,17.01662064,17.37816048,15.89074039,14.9720602,15.14920044,13.59119987,13.11159992,11.16790962,,
A,Annual,CZE,Czechia,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,24.26152992,24.71335983,22.24896049,23.44035912,22.90897942,22.75629997,22.52743912,,24.8796196,26.03095055,24.51402092,24.09571075,22.62924957,22.45274925,23.9582901,22.45894051,23.17185974,23.45063972,23.86177063,26.1180706,25.85884094,25.87601089,25.46944046,,
A,Annual,DEU,Germany,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,27.80365944,26.91868019,26.2793293,26.51639938,,,,,,,,,,,,,36.74026108,36.04018021,35.55347061,35.30881119,36.78192902,35.82162094,35.13888931,,
A,Annual,DJI,Djibouti,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,0.0,,,,,,,,,,46.46781921,,,,,,,,,,,,,,
A,Annual,DNK,Denmark,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,19.60835075,18.26263046,21.82126045,22.22986031,19.82785034,19.47738075,18.90592003,18.1661396,19.97286034,19.49189949,18.94045067,19.40262985,20.25871086,21.32032967,20.44924927,20.78268051,19.62433052,20.46313095,20.97698021,22.20288086,22.53786087,23.00642967,23.9949894,,
